source_id,research_problem,method,dataset_benchmark,document_type,contradiction_definition,contradiction_types,entity_resolution,temporal_modeling,status_modeling,provenance,graph_representation,semantic_model,fusion_method,uncertainty_handling,baselines,evaluation_metrics,key_results,limitations,relevance_hyconcheck,relation_F,relation_H,open_gap,quality_transparency,quality_reproducibility,quality_evaluation,quality_relevance,quality_evidence,anticipates_hyconcheck
SRC-0014,Widersprüche in abgerufenen Dokumentmengen (RAG) erkennen,Datengenerierungs-Framework für drei Widerspruchstypen; LLMs als Context Validators mit verschiedenen Prompting-Strategien,"Synthetisch generierte Dokumentmengen (Nachrichten), human-annotiert",Nachrichtenartikel (Dokumentmengen),"Self- (innerhalb d_i), Pair- (s_p∈d_i, s_q∈d_j) und Conditional-Contradictions (über drei Dokumente)","Self, Pair, Conditional → dokumentübergreifend; keine Typen nach Inhalt",n/a,n/a,n/a,n/a,n/a,"LLMs (Claude 3, Llama)",n/a,n/a,Prompting-Varianten (CoT u. a.),Accuracy,"Context Validation bleibt schwierig; große Modelle besser; CoT hilft nicht durchgängig; Accuracy sinkt bei langen Dokumenten (z. B. 61,8 % bei kurzen)",Nur drei Typen; keine numerischen/temporalen/kausalen Konflikte; keine Qualitätskontrolle der Synthese,hoch – dokumentübergreifende Widerspruchstypen und Generator; Autoren nennen temporale/numerische Konflikte als offen,"F1, F4","H1, H5 (Stand der Technik)","Temporale und numerische Konflikte, Konfliktauflösung nach Metadaten",hoch,mittel,mittel,hoch,mittel,teilweise
SRC-0015,Evidenzextraktion bei dokumentinterner Inkonsistenzdetektion mit LLMs,Redact-and-Retry mit Constrained Filtering; neue Evidenzextraktionsmetriken,"ContraDoc + ContraDocPaired (semi-synthetisch, |E|>1)",lange Dokumente,Inkonsistenz innerhalb eines Dokuments (ContraDoc-Definition),wie ContraDoc,n/a,n/a,n/a,Evidenzsätze als Zielgröße,n/a,"GPT-4o, LLaMA-3.2-90B",n/a,n/a,Prompting-Strategien (DP u. a.),"Accuracy, Precision, TPR/F1, FPR, TNR, FNR für Evidenzextraktion",RnR+CF verbessert Evidenzextraktion deutlich gegenüber anderen Prompting-Methoden,"Zwei LLMs, korrelierte Datensätze; Feld jung, wenige Datensätze",mittel – Evidenzmetriken für nachvollziehbare Ausgabe (§5D),"F1, F4",,Dokumentübergreifend offen; Datensatzmangel,hoch,mittel,mittel,mittel,mittel,nein
SRC-0016,Dokumentpaar-Konflikte in biomedizinischer Literatur erkennen und erklären,"Expertenannotierte Paare; Aufgaben Konfliktdetektion, Extraktion kontextueller Variablen, Konsenssynthese; LLM-Evaluation","BioConflict: 250 Paper-Paare (500 Abstracts), 10 Themen",wissenschaftliche Abstracts (Paare),"Divergente Befunde zweier Arbeiten, erklärt durch versteckte Variablen (Dosis, Zelltyp, Studiendesign)",Befundkonflikt mit Kontextvariablen → Fakt und Wert; Kontextabhängigkeit ~ 'unklar'/bedingt,n/a,n/a,n/a,n/a,n/a,"GPT-4o, Claude 3.5, Llama 3.1, Gemma, Qwen; PubMedBERT",n/a,n/a,zwei domänenspezifische Modelle,"F1 (Detektion), Accuracy (Variablenextraktion), LLM-as-judge (Synthese)","Konfliktdetektion F1 bis 0,89 (GPT-4o); Synthese brüchig; Domänenmodelle deutlich schlechter",Nur Abstracts; 250 Paare; LLM-as-judge-Bias,mittel – Modell für 'scheinbarer Widerspruch durch Kontextvariablen' (Sekundärtag fehlender Kontext),"F1, F4",,Keine Zeit/Version; kleine Stichprobe,mittel,mittel,mittel,mittel,mittel,nein
SRC-0017,Fehlende großskalige NLI-Ressourcen,Crowdsourcing über Bildbeschreibungen; lexikalisierte und neuronale Klassifikatoren,SNLI (570k Satzpaare),Bildbeschreibungssätze,"Hypothese ist definitiv falsch, wenn Prämisse wahr (Annotatoreninstruktion)",allgemein (3-Klassen-NLI),n/a,n/a,n/a,n/a,n/a,"lexikalisiert, LSTM",n/a,n/a,frühere Entailment-Modelle,Accuracy,Erstmals kompetitive neuronale NLI-Modelle,Kontextarm; Artefakte (siehe SRC-0019),mittel – Trainingsbasis B3,F1,,Satzebene,hoch,hoch,hoch,mittel,hoch,nein
SRC-0018,Genreabdeckung und Schwierigkeit von NLI-Daten,Crowdsourcing über 10 Genres; Cross-Genre-Evaluation,MultiNLI (433k Paare),10 Genres geschriebener/gesprochener Sprache,wie SNLI,allgemein,n/a,n/a,n/a,n/a,n/a,SNLI-Modelle,n/a,n/a,SNLI-Modelle,Accuracy (matched/mismatched),Deutlich schwieriger als SNLI bei ähnlicher Annotatorübereinstimmung,Satzebene; Artefakte,mittel – Trainingsbasis B3,F1,,Satzebene,hoch,hoch,hoch,mittel,hoch,nein
SRC-0019,Annotationsartefakte in NLI-Daten,"Hypothesis-only-Klassifikator; linguistische Analyse (Negation, Vagheit)","SNLI, MultiNLI",Satzpaare,NLI-Labels,allgemein,n/a,n/a,n/a,n/a,n/a,Textklassifikator,n/a,n/a,Mehrheitsklasse,Accuracy,"Hypothesis-only: 67 % SNLI, 53 % MultiNLI; Negation korreliert mit Widerspruchslabel",-,hoch – Leakage-/Artefaktrisiko für Benchmark und Testdatengenerator (§10–§11),F1,,-,hoch,hoch,hoch,hoch,hoch,nein
SRC-0020,Uneinigkeit menschlicher Annotatoren bei NLI,"Mehrfachratings, Kontextvariation, Vergleich mit Modellunsicherheit",Bestehende NLI/RTE-Daten mit zusätzlichen Ratings,Satzpaare,informell: Mensch würde h aus p wahrscheinlich ableiten/ausschließen,allgemein,n/a,n/a,n/a,n/a,n/a,SOTA-NLI-Modelle,n/a,Modellunsicherheit spiegelt menschliche Verteilung nicht; Vorschlag: Verteilung vorhersagen,-,Verteilungsvergleich,Uneinigkeit persistiert bei mehr Ratings und Kontext; kein Rauschen,-,hoch – begründet Label 'unklar' und Blind-Reannotation; Kalibrierung (F6),F6,H6 (Stand der Technik),-,hoch,mittel,hoch,hoch,hoch,nein
SRC-0021,Referenzdeterminiertheit: Prämisse und Hypothese beziehen sich nicht zwingend auf denselben Kontext,RefNLI-Diagnosebenchmark (Prämisse aus Wikipedia abgerufen); Training mit verschiedenen NLI-Mischungen; Few-shot-LLMs,RefNLI (öffentlich),Satz–Wikipedia-Passage,NLI-Labels unter RD-Annahme,allgemein,Kern: Referenzambiguität führt zu > 80 % falschen Widerspruchsvorhersagen,n/a,n/a,n/a,n/a,"fine-tuned NLI, LLMs",n/a,n/a,"NLI-Modelle, Few-shot-LLMs",Anteil falscher Widerspruchs-/Entailment-Vorhersagen,"> 80 % falsche Widersprüche, > 50 % falsche Entailments bei Kontext-Mismatch; erklärt Teil der Annotatoren-Uneinigkeit",Eine Architektur; LLM-Experimente begrenzt,"hoch – direkte Evidenz zu H2/H7-Mechanismus (Stand der Technik, keine Prüfung)","F2, F5","H2, H7 (Stand der Technik)",Entitätsauflösung vor NLI ist nicht integriert,hoch,hoch,hoch,hoch,hoch,nein
SRC-0022,Sind vortrainierte Transformer kalibriert?,ECE-Analyse BERT/RoBERTa in-/out-of-domain; Temperature Scaling; Label Smoothing,"NLI (SNLI/MNLI), Paraphrase, Commonsense",Satzpaare,NLI,allgemein,n/a,n/a,n/a,n/a,n/a,"BERT, RoBERTa",n/a,ECE; Temperature Scaling in-domain; Label Smoothing out-of-domain,"nicht vortrainierte Modelle (DA, ESIM)",Expected Calibration Error,"Vortrainierte Modelle in-domain kalibriert, out-of-domain bis 3,5× geringerer Fehler als Baselines",-,hoch – Kalibrierungsmethodik für Fusion (F6/H6),F6,H6 (Stand der Technik),Keine Fusion mehrerer Signale,hoch,hoch,hoch,hoch,hoch,nein
SRC-0023,NLI auf Dokumentgranularität,Transformation mehrerer NLP-Aufgaben in Dokument-NLI; Pretraining auf DocNLI,"DocNLI (öffentlich, multiple Genres)","Dokumente als Prämisse, Hypothesen Satz–Absatz",Entailment vs. Nicht-Entailment (binär),keine Widerspruchstypen,n/a,n/a,n/a,n/a,n/a,RoBERTa u. a.,n/a,n/a,Satz-NLI-Modelle,Accuracy/F1,"Transfer auf Satzbenchmarks (z. B. SciTail 78,17 %) und dokumentgranulare Aufgaben",Binäre Labels,mittel – Dokumentgranularität; kein Widerspruchslabel,F1,,Kein Widerspruch als Klasse; keine Zeit/Status,hoch,hoch,hoch,mittel,hoch,nein
SRC-0024,Dokument-NLI für Verträge mit Evidenzidentifikation,"Span NLI BERT: Evidenz als Multi-Label über Spannen, Kontextsegmentierung","ContractNLI: 607 Verträge, 17 Hypothesen, Splits 423/61/123",Verträge (NDA),Hypothese entailed / contradicted / not mentioned durch Vertrag,allgemein; Negation durch Ausnahmen als Schwierigkeit → Modalität und Norm,n/a,n/a,n/a,Evidenzspannen annotiert,n/a,BERT-Varianten,n/a,n/a,existierende Transformer,"Accuracy/F1, Evidenz-mAP",Existierende Modelle scheitern; Span NLI BERT signifikant besser; schwach bei seltenen Labels,Negation durch Ausnahmen; seltene Labels,hoch – Evidenzspannen + Normbezug; Vertragsklauseln ~ Anforderungen,"F1, F4",,Einzeldokument; keine Zeit/Version,hoch,hoch,hoch,hoch,hoch,nein
SRC-0025,"Dokument-NLI mit fragmentierter, entfernter Evidenz","Hierarchischer Dokumentgraph (topisch, entitäts-, konzeptbasierte Kanten), SubGraph Pooling, REINFORCE-Evidenzauswahl","DocNLI, ContractNLI, ConTRoL, CaseHoldNLI (neu, > 270k Paare)","Dokumente, Verträge, Rechtstexte",Dokument-NLI-Labels,allgemein,n/a,n/a,n/a,n/a,Hierarchischer Dokumentgraph mit Inter-Satz-Relationen (u. a. entitätsbasiert),BERT-artige Encoder + GNN,n/a,n/a,SOTA-Dokument-NLI,Accuracy/F1,8–12 % Gewinn über SOTA; Ablationen bestätigen Komponenten,Autoren nennen temporales Wissen als offen (Future Work),"hoch – Graphrepräsentation für Dokument-NLI (Bezug §5A), explizit ohne Zeit",F2,H5 (Stand der Technik),Temporale und Statusmodellierung fehlen (von Autoren benannt),hoch,mittel,hoch,hoch,hoch,teilweise
SRC-0026,"Dokument-NLI: Interpretierbarkeit, Long-Range, Cross-Sentence",Retrieval (Evidenzsätze) → Reading (Satz-Credibility) → Fusion zu Dokumentlabel; Evidenzannotation,DocNLI (+ Evidenz-/Satzlabels),Dokumentpaare,Entailment-Relation Dokumentpaar,allgemein,n/a,n/a,n/a,Evidenzsätze,n/a,Transformer,Fusion satzweiser Ergebnisse zum Dokumenturteil,n/a,Dokument-NLI-Baselines,Accuracy/F1,"SOTA, robust über Retrieval-Methoden, besser bei langen Beispielen",Pipeline statt end-to-end; Evidence Dependency Bias,hoch – Fusionsmuster satzweiser Evidenz (Bezug §5C),"F2, F6","H5, H6 (Stand der Technik)",Nur semantische Evidenz; keine Zeit/Status/Provenienzbedingungen,hoch,hoch,hoch,hoch,hoch,teilweise
SRC-0027,NLI-Modelle für Inkonsistenzdetektion auf Dokumentebene (Zusammenfassungen),"Segmentierung in Sätze, NLI-Scores paarweise, Aggregation (SummaC-ZS, SummaC-Conv)","SummaC-Benchmark (6 Datensätze, u. a. CoGenSumm, XSumFaith, Polytope, FactCC, SummEval, FRANK)",Dokument–Zusammenfassung,Faktische Inkonsistenz Zusammenfassung vs. Quelle,"Negation/Inversion, Entitätsvertauschung, Halluzination",n/a,n/a,n/a,n/a,n/a,NLI-Modelle,Aggregation satzweiser NLI-Scores (max/conv),n/a,frühere NLI-/QA-basierte Verfahren,Balanced Accuracy,"SummaC-Conv 74,4 % balanced accuracy (+5 %)",Summarization-Domäne,hoch – Granularitäts-Mismatch als Kernbefund; Aggregationsmuster für B3,"F2, F3",H1 (Stand der Technik),Nicht dokumentübergreifend im Projektsinn; keine Zeit/Status,hoch,hoch,hoch,hoch,hoch,nein
SRC-0028,Zero-Shot-Anwendbarkeit von Satzpaar-NLI auf lange Dokumente und Dokumentcluster,"SentLI (Multi-Task Satz-NLI, T5), Aggregation über Dokumente, NLI-Scores als Retrieval-Signal; Cluster-Analyse (Diskrepanz/Konsens)","ContractNLI, DocNLI (zero-shot), Wikipedia-Sprachversions-Cluster (freigegeben)","Verträge, Dokumente, Wikipedia-Cluster",NLI-Labels; Diskrepanz zwischen Quellen im Cluster,allgemein,n/a,n/a,n/a,Quellen im Cluster,n/a,T5-basiertes NLI,Aggregation satzweiser Scores,n/a,"Ähnlichkeitsbasiertes Retrieval, Cross-Attention-Klassifikator","Accuracy/F1, Retrieval-Relevanz",SOTA auf ContractNLI; reale Inkonsistenzen zwischen Wikipedia-Sprachversionen gefunden,Keine Prämissenkontextualisierung; Englisch; Übersetzungsfehler,hoch – dokumentübergreifende Diskrepanzfindung nur mit NLI (Vergleichsbasis für Hybrid),"F1, F3","H1, H5 (Stand der Technik)",Keine Entitäts-/Zeit-/Statusmodellierung; Cluster-Setting nur Testfall,hoch,hoch,hoch,hoch,hoch,teilweise
SRC-0029,Faktische Inkonsistenzen in langen Eingaben effizient erkennen,"SCALE: NLI (Flan-T5) mit großen Text-Chunks, Yes/No-Logits, Retrieval relevanter Quellsätze zur Erklärung","TRUE-Benchmark (11 Datensätze, 4 NLG-Aufgaben), ScreenEval (neu, lange Dialoge)","Quelle–generierter Text, lange Dialoge",Faktische Inkonsistenz zur Quelle,allgemein,n/a,n/a,n/a,Erklärende Quellsätze,n/a,Flan-T5,n/a,"Bessere Kalibrierung als Baselines (aggregiert), aber taskabhängig","SummaC, QA-basierte, GPT-4","ROC-AUC/F1, Kalibrierung, Laufzeit","SOTA auf TRUE, schneller/günstiger als GPT-4",Nur Yes/No-Logits; Kalibrierung taskabhängig,mittel – Chunking + Kalibrierung für B3 auf langen Dokumenten,"F3, F6",H6 (Stand der Technik),Keine Zeit/Status,hoch,hoch,hoch,mittel,hoch,nein
SRC-0030,Struktur von Beziehungen zwischen Dokumenten zum selben Ereignis,Theorie (CST) mit Taxonomie dokumentübergreifender Relationen; Anwendung auf Multi-Dokument-Zusammenfassung,Beispielcluster (Nachrichten),Nachrichtencluster über Zeit,"Widerspruch als eine CST-Relation neben Paraphrase, Elaboration, Fortschreibung, Attribution, Modalität","CST-Relationen: u. a. Widerspruch, Fortschreibung/Follow-up, Attribution, Modalität, Chronologie → Zeit und Status, Modalität und Norm, Akteur",n/a,Chronologische Ordnung von Fakten über Quellen; Fortschreibung als eigene Relation,Fortschreibung/Entwicklung als Relation (nicht Widerspruch),Informationsprovenienz und Cross-Source-Agreement als Nutzerpräferenzen,Relationen zwischen Textspannen über Dokumente (Graphstruktur),keins (Theorie),n/a,n/a,-,-,"Taxonomie dokumentübergreifender Relationen inkl. Widerspruch, Fortschreibung, Provenienz",Theoretisch; keine Detektion,hoch – konzeptuelle Vorwegnahme der Unterscheidung Widerspruch vs. Fortschreibung vs. Attribution auf Dokumentebene,F1,"H3, H5 (Stand der Technik: konzeptuell)","Keine automatische Erkennung, keine Zeitnormalisierung",mittel,niedrig,niedrig,hoch,mittel,teilweise
