date,weekday,iso_week,year,month,work_package,ap_title,planned_activity_raw,subactivity,planned_artifact,planned_hours,category,source_label
2026-10-23,Freitag,43,2026,10,,,"Geplanter Puffer für Administration, Urlaub oder nicht begünstigte Tätigkeiten.","Geplanter Puffer für Administration, Urlaub oder nicht begünstigte Tätigkeiten.",,0,BUFFER,Puffer / kein FuE
2026-10-26,Montag,44,2026,10,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Generator für Basisdokumente und konfliktfreie Szenarien implementieren (geplante Etappe 4/5),Generator für Basisdokumente und konfliktfreie Szenarien implementieren,Generator v1,8,AP,AP2
2026-10-27,Dienstag,44,2026,10,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Generator für Basisdokumente und konfliktfreie Szenarien implementieren (geplante Etappe 5/5),Generator für Basisdokumente und konfliktfreie Szenarien implementieren,Generator v1,8,AP,AP2
2026-10-28,Mittwoch,44,2026,10,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Generator für Fakt-/Wert- und Verantwortlichkeitskonflikte implementieren (geplante Etappe 1/4),Generator für Fakt-/Wert- und Verantwortlichkeitskonflikte implementieren,Konfliktgenerator v1,8,AP,AP2
2026-10-29,Donnerstag,44,2026,10,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Generator für Fakt-/Wert- und Verantwortlichkeitskonflikte implementieren (geplante Etappe 2/4),Generator für Fakt-/Wert- und Verantwortlichkeitskonflikte implementieren,Konfliktgenerator v1,8,AP,AP2
2026-10-30,Freitag,44,2026,10,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Generator für Fakt-/Wert- und Verantwortlichkeitskonflikte implementieren (geplante Etappe 3/4),Generator für Fakt-/Wert- und Verantwortlichkeitskonflikte implementieren,Konfliktgenerator v1,8,AP,AP2
2026-11-02,Montag,45,2026,11,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Generator für Fakt-/Wert- und Verantwortlichkeitskonflikte implementieren (geplante Etappe 4/4),Generator für Fakt-/Wert- und Verantwortlichkeitskonflikte implementieren,Konfliktgenerator v1,8,AP,AP2
2026-11-03,Dienstag,45,2026,11,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Generator für Zeit-/Status- und Versionsfälle implementieren (geplante Etappe 1/5),Generator für Zeit-/Status- und Versionsfälle implementieren,Temporal/Status Generator,8,AP,AP2
2026-11-04,Mittwoch,45,2026,11,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Generator für Zeit-/Status- und Versionsfälle implementieren (geplante Etappe 2/5),Generator für Zeit-/Status- und Versionsfälle implementieren,Temporal/Status Generator,8,AP,AP2
2026-11-05,Donnerstag,45,2026,11,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Generator für Zeit-/Status- und Versionsfälle implementieren (geplante Etappe 3/5),Generator für Zeit-/Status- und Versionsfälle implementieren,Temporal/Status Generator,8,AP,AP2
2026-11-06,Freitag,45,2026,11,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Generator für Zeit-/Status- und Versionsfälle implementieren (geplante Etappe 4/5),Generator für Zeit-/Status- und Versionsfälle implementieren,Temporal/Status Generator,8,AP,AP2
2026-11-09,Montag,46,2026,11,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Generator für Zeit-/Status- und Versionsfälle implementieren (geplante Etappe 5/5),Generator für Zeit-/Status- und Versionsfälle implementieren,Temporal/Status Generator,8,AP,AP2
2026-11-10,Dienstag,46,2026,11,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Generator für Abhängigkeits-/Schnittstellenfälle implementieren (geplante Etappe 1/4),Generator für Abhängigkeits-/Schnittstellenfälle implementieren,Dependency Generator,8,AP,AP2
2026-11-11,Mittwoch,46,2026,11,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Generator für Abhängigkeits-/Schnittstellenfälle implementieren (geplante Etappe 2/4),Generator für Abhängigkeits-/Schnittstellenfälle implementieren,Dependency Generator,8,AP,AP2
2026-11-12,Donnerstag,46,2026,11,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Generator für Abhängigkeits-/Schnittstellenfälle implementieren (geplante Etappe 3/4),Generator für Abhängigkeits-/Schnittstellenfälle implementieren,Dependency Generator,8,AP,AP2
2026-11-13,Freitag,46,2026,11,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Generator für Abhängigkeits-/Schnittstellenfälle implementieren (geplante Etappe 4/4),Generator für Abhängigkeits-/Schnittstellenfälle implementieren,Dependency Generator,8,AP,AP2
2026-11-16,Montag,47,2026,11,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth","Schwierige Gegenbeispiele, Hard Negatives und Mehrdeutigkeiten erzeugen (geplante Etappe 1/4)","Schwierige Gegenbeispiele, Hard Negatives und Mehrdeutigkeiten erzeugen",Hard-Negative-Satz,8,AP,AP2
2026-11-17,Dienstag,47,2026,11,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth","Schwierige Gegenbeispiele, Hard Negatives und Mehrdeutigkeiten erzeugen (geplante Etappe 2/4)","Schwierige Gegenbeispiele, Hard Negatives und Mehrdeutigkeiten erzeugen",Hard-Negative-Satz,8,AP,AP2
2026-11-18,Mittwoch,47,2026,11,,,Feiertag: Buß- und Bettag,Feiertag: Buß- und Bettag,,0,HOLIDAY,Feiertag
2026-11-19,Donnerstag,47,2026,11,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth","Schwierige Gegenbeispiele, Hard Negatives und Mehrdeutigkeiten erzeugen (geplante Etappe 3/4)","Schwierige Gegenbeispiele, Hard Negatives und Mehrdeutigkeiten erzeugen",Hard-Negative-Satz,8,AP,AP2
2026-11-20,Freitag,47,2026,11,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth","Schwierige Gegenbeispiele, Hard Negatives und Mehrdeutigkeiten erzeugen (geplante Etappe 4/4)","Schwierige Gegenbeispiele, Hard Negatives und Mehrdeutigkeiten erzeugen",Hard-Negative-Satz,8,AP,AP2
2026-11-23,Montag,48,2026,11,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Ground-Truth- und Annotationsleitfaden entwickeln (geplante Etappe 1/3),Ground-Truth- und Annotationsleitfaden entwickeln,Annotation Guide,8,AP,AP2
2026-11-24,Dienstag,48,2026,11,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Ground-Truth- und Annotationsleitfaden entwickeln (geplante Etappe 2/3),Ground-Truth- und Annotationsleitfaden entwickeln,Annotation Guide,8,AP,AP2
2026-11-25,Mittwoch,48,2026,11,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Ground-Truth- und Annotationsleitfaden entwickeln (geplante Etappe 3/3),Ground-Truth- und Annotationsleitfaden entwickeln,Annotation Guide,8,AP,AP2
2026-11-26,Donnerstag,48,2026,11,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Train-/Validation-/Test-Split und Leakage-Schutz implementieren (geplante Etappe 1/3),Train-/Validation-/Test-Split und Leakage-Schutz implementieren,Split-Manifest,8,AP,AP2
2026-11-27,Freitag,48,2026,11,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Train-/Validation-/Test-Split und Leakage-Schutz implementieren (geplante Etappe 2/3),Train-/Validation-/Test-Split und Leakage-Schutz implementieren,Split-Manifest,8,AP,AP2
2026-11-30,Montag,49,2026,11,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Train-/Validation-/Test-Split und Leakage-Schutz implementieren (geplante Etappe 3/3),Train-/Validation-/Test-Split und Leakage-Schutz implementieren,Split-Manifest,4,AP,AP2
2026-11-30,Montag,49,2026,11,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth","Benchmark-Pilot erzeugen, prüfen und Fehler des Generators korrigieren (geplante Etappe 1/3)","Benchmark-Pilot erzeugen, prüfen und Fehler des Generators korrigieren",Benchmark Pilot,4,AP,AP2
2026-12-01,Dienstag,49,2026,12,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth","Benchmark-Pilot erzeugen, prüfen und Fehler des Generators korrigieren (geplante Etappe 1/3)","Benchmark-Pilot erzeugen, prüfen und Fehler des Generators korrigieren",Benchmark Pilot,8,AP,AP2
2026-12-02,Mittwoch,49,2026,12,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth","Benchmark-Pilot erzeugen, prüfen und Fehler des Generators korrigieren (geplante Etappe 2/3)","Benchmark-Pilot erzeugen, prüfen und Fehler des Generators korrigieren",Benchmark Pilot,8,AP,AP2
2026-12-03,Donnerstag,49,2026,12,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth","Benchmark-Pilot erzeugen, prüfen und Fehler des Generators korrigieren (geplante Etappe 3/3)","Benchmark-Pilot erzeugen, prüfen und Fehler des Generators korrigieren",Benchmark Pilot,4,AP,AP2
2026-12-03,Donnerstag,49,2026,12,AP3,Baselines und Evaluationspipeline,"Reproduzierbare Evaluationspipeline, Konfigurationen und Metrikberechnung entwickeln (geplante Etappe 1/5)","Reproduzierbare Evaluationspipeline, Konfigurationen und Metrikberechnung entwickeln",Evaluation Framework,4,AP,AP3
2026-12-04,Freitag,49,2026,12,,,"Geplanter Puffer für Administration, Urlaub oder nicht begünstigte Tätigkeiten.","Geplanter Puffer für Administration, Urlaub oder nicht begünstigte Tätigkeiten.",,0,BUFFER,Puffer / kein FuE
2026-12-07,Montag,50,2026,12,AP3,Baselines und Evaluationspipeline,"Reproduzierbare Evaluationspipeline, Konfigurationen und Metrikberechnung entwickeln (geplante Etappe 1/5)","Reproduzierbare Evaluationspipeline, Konfigurationen und Metrikberechnung entwickeln",Evaluation Framework,8,AP,AP3
2026-12-08,Dienstag,50,2026,12,AP3,Baselines und Evaluationspipeline,"Reproduzierbare Evaluationspipeline, Konfigurationen und Metrikberechnung entwickeln (geplante Etappe 2/5)","Reproduzierbare Evaluationspipeline, Konfigurationen und Metrikberechnung entwickeln",Evaluation Framework,8,AP,AP3
2026-12-09,Mittwoch,50,2026,12,AP3,Baselines und Evaluationspipeline,"Reproduzierbare Evaluationspipeline, Konfigurationen und Metrikberechnung entwickeln (geplante Etappe 3/5)","Reproduzierbare Evaluationspipeline, Konfigurationen und Metrikberechnung entwickeln",Evaluation Framework,8,AP,AP3
2026-12-10,Donnerstag,50,2026,12,AP3,Baselines und Evaluationspipeline,"Reproduzierbare Evaluationspipeline, Konfigurationen und Metrikberechnung entwickeln (geplante Etappe 4/5)","Reproduzierbare Evaluationspipeline, Konfigurationen und Metrikberechnung entwickeln",Evaluation Framework,8,AP,AP3
2026-12-11,Freitag,50,2026,12,AP3,Baselines und Evaluationspipeline,"Reproduzierbare Evaluationspipeline, Konfigurationen und Metrikberechnung entwickeln (geplante Etappe 5/5)","Reproduzierbare Evaluationspipeline, Konfigurationen und Metrikberechnung entwickeln",Evaluation Framework,4,AP,AP3
2026-12-11,Freitag,50,2026,12,AP3,Baselines und Evaluationspipeline,B0 String-/Keyword-Referenz implementieren und testen (geplante Etappe 1/3),B0 String-/Keyword-Referenz implementieren und testen,Baseline B0,4,AP,AP3
2026-12-14,Montag,51,2026,12,AP3,Baselines und Evaluationspipeline,B0 String-/Keyword-Referenz implementieren und testen (geplante Etappe 1/3),B0 String-/Keyword-Referenz implementieren und testen,Baseline B0,8,AP,AP3
2026-12-15,Dienstag,51,2026,12,AP3,Baselines und Evaluationspipeline,B0 String-/Keyword-Referenz implementieren und testen (geplante Etappe 2/3),B0 String-/Keyword-Referenz implementieren und testen,Baseline B0,8,AP,AP3
2026-12-16,Mittwoch,51,2026,12,AP3,Baselines und Evaluationspipeline,B0 String-/Keyword-Referenz implementieren und testen (geplante Etappe 3/3),B0 String-/Keyword-Referenz implementieren und testen,Baseline B0,4,AP,AP3
2026-12-16,Mittwoch,51,2026,12,AP3,Baselines und Evaluationspipeline,B1 regelbasiertes Konsistenzverfahren implementieren und testen (geplante Etappe 1/6),B1 regelbasiertes Konsistenzverfahren implementieren und testen,Baseline B1,4,AP,AP3
2026-12-17,Donnerstag,51,2026,12,AP3,Baselines und Evaluationspipeline,B1 regelbasiertes Konsistenzverfahren implementieren und testen (geplante Etappe 1/6),B1 regelbasiertes Konsistenzverfahren implementieren und testen,Baseline B1,8,AP,AP3
2026-12-18,Freitag,51,2026,12,,,"Geplanter Puffer für Administration, Urlaub oder nicht begünstigte Tätigkeiten.","Geplanter Puffer für Administration, Urlaub oder nicht begünstigte Tätigkeiten.",,0,BUFFER,Puffer / kein FuE
2026-12-21,Montag,52,2026,12,AP3,Baselines und Evaluationspipeline,B1 regelbasiertes Konsistenzverfahren implementieren und testen (geplante Etappe 2/6),B1 regelbasiertes Konsistenzverfahren implementieren und testen,Baseline B1,8,AP,AP3
2026-12-22,Dienstag,52,2026,12,AP3,Baselines und Evaluationspipeline,B1 regelbasiertes Konsistenzverfahren implementieren und testen (geplante Etappe 3/6),B1 regelbasiertes Konsistenzverfahren implementieren und testen,Baseline B1,8,AP,AP3
2026-12-23,Mittwoch,52,2026,12,AP3,Baselines und Evaluationspipeline,B1 regelbasiertes Konsistenzverfahren implementieren und testen (geplante Etappe 4/6),B1 regelbasiertes Konsistenzverfahren implementieren und testen,Baseline B1,8,AP,AP3
2026-12-24,Donnerstag,52,2026,12,AP3,Baselines und Evaluationspipeline,B1 regelbasiertes Konsistenzverfahren implementieren und testen (geplante Etappe 5/6),B1 regelbasiertes Konsistenzverfahren implementieren und testen,Baseline B1,8,AP,AP3
2026-12-25,Freitag,52,2026,12,,,Feiertag: 1. Weihnachtstag,Feiertag: 1. Weihnachtstag,,0,HOLIDAY,Feiertag
2026-12-28,Montag,53,2026,12,AP3,Baselines und Evaluationspipeline,B1 regelbasiertes Konsistenzverfahren implementieren und testen (geplante Etappe 6/6),B1 regelbasiertes Konsistenzverfahren implementieren und testen,Baseline B1,4,AP,AP3
2026-12-28,Montag,53,2026,12,AP3,Baselines und Evaluationspipeline,B2 Embedding-basierte Kandidatensuche/Klassifikation implementieren (geplante Etappe 1/6),B2 Embedding-basierte Kandidatensuche/Klassifikation implementieren,Baseline B2,4,AP,AP3
2026-12-29,Dienstag,53,2026,12,AP3,Baselines und Evaluationspipeline,B2 Embedding-basierte Kandidatensuche/Klassifikation implementieren (geplante Etappe 1/6),B2 Embedding-basierte Kandidatensuche/Klassifikation implementieren,Baseline B2,8,AP,AP3
2026-12-30,Mittwoch,53,2026,12,AP3,Baselines und Evaluationspipeline,B2 Embedding-basierte Kandidatensuche/Klassifikation implementieren (geplante Etappe 2/6),B2 Embedding-basierte Kandidatensuche/Klassifikation implementieren,Baseline B2,8,AP,AP3
2026-12-31,Donnerstag,53,2026,12,AP3,Baselines und Evaluationspipeline,B2 Embedding-basierte Kandidatensuche/Klassifikation implementieren (geplante Etappe 3/6),B2 Embedding-basierte Kandidatensuche/Klassifikation implementieren,Baseline B2,8,AP,AP3
2027-01-01,Freitag,53,2027,1,,,Feiertag: Neujahr,Feiertag: Neujahr,,0,HOLIDAY,Feiertag
2027-01-04,Montag,1,2027,1,AP3,Baselines und Evaluationspipeline,B2 Embedding-basierte Kandidatensuche/Klassifikation implementieren (geplante Etappe 4/6),B2 Embedding-basierte Kandidatensuche/Klassifikation implementieren,Baseline B2,8,AP,AP3
2027-01-05,Dienstag,1,2027,1,AP3,Baselines und Evaluationspipeline,B2 Embedding-basierte Kandidatensuche/Klassifikation implementieren (geplante Etappe 5/6),B2 Embedding-basierte Kandidatensuche/Klassifikation implementieren,Baseline B2,8,AP,AP3
2027-01-06,Mittwoch,1,2027,1,AP3,Baselines und Evaluationspipeline,B2 Embedding-basierte Kandidatensuche/Klassifikation implementieren (geplante Etappe 6/6),B2 Embedding-basierte Kandidatensuche/Klassifikation implementieren,Baseline B2,4,AP,AP3
2027-01-06,Mittwoch,1,2027,1,AP3,Baselines und Evaluationspipeline,"B3 NLI-Baseline implementieren, Modelle vergleichen und Schwellenwerte validieren (geplante Etappe 1/8)","B3 NLI-Baseline implementieren, Modelle vergleichen und Schwellenwerte validieren",Baseline B3,4,AP,AP3
2027-01-07,Donnerstag,1,2027,1,AP3,Baselines und Evaluationspipeline,"B3 NLI-Baseline implementieren, Modelle vergleichen und Schwellenwerte validieren (geplante Etappe 1/8)","B3 NLI-Baseline implementieren, Modelle vergleichen und Schwellenwerte validieren",Baseline B3,8,AP,AP3
