work_package,ap_title,subactivity,planned_hours,planned_artifact
AP4,"Entitäts-, Attribut-, Zeit-, Status- und Provenienzverarbeitung",Statuszustände und zulässige Statusübergänge modellieren und extrahieren,56,Status Model
AP4,"Entitäts-, Attribut-, Zeit-, Status- und Provenienzverarbeitung",Dokumentversion und Provenienz technisch erfassen und verknüpfen,32,Provenance Model
AP4,"Entitäts-, Attribut-, Zeit-, Status- und Provenienzverarbeitung","Komponenten-Benchmarks für Entity-, Zeit- und Statusverarbeitung erstellen",28,Component Benchmarks
AP4,"Entitäts-, Attribut-, Zeit-, Status- und Provenienzverarbeitung","Fehleranalyse für Matching-, Zeit- und Statusextraktion durchführen",32,Extraction Error Analysis
AP4,"Entitäts-, Attribut-, Zeit-, Status- und Provenienzverarbeitung","Komponenten integrieren, Regressionstests ergänzen und Schnittstellen stabilisieren",24,Extraction Pipeline
AP5,Evidenzgraph und Fusionsalgorithmen,"Evidenzgraph-Schema für Aussagen, Entitäten, Zeit, Status und Provenienz entwerfen",48,Evidence Graph Schema
AP5,Evidenzgraph und Fusionsalgorithmen,Graphkonstruktion aus extrahierten Dokumentinformationen implementieren,64,Evidence Graph Builder
AP5,Evidenzgraph und Fusionsalgorithmen,Graph- und strukturbezogene Kandidatensuche für potenzielle Konfliktpaare entwickeln,48,Candidate Retrieval
AP5,Evidenzgraph und Fusionsalgorithmen,Symbolische Zeit-/Status-Konsistenzregeln auf dem Evidenzgraphen entwickeln,56,Consistency Rules
AP5,Evidenzgraph und Fusionsalgorithmen,Semantische NLI-/LLM-Signale in die Evidenzrepräsentation integrieren,48,Semantic Evidence
AP5,Evidenzgraph und Fusionsalgorithmen,Alternative Fusions- und Entscheidungslogiken entwickeln und implementieren,80,Fusion Variants
AP5,Evidenzgraph und Fusionsalgorithmen,Mehrkanten- und Konfliktpfade analysieren und Fehlerfortpflanzung modellieren,40,Graph Reasoning
AP5,Evidenzgraph und Fusionsalgorithmen,Hybridarchitekturen experimentell auf Development/Validation vergleichen,48,Hybrid Experiments
AP5,Evidenzgraph und Fusionsalgorithmen,Architekturvergleich auswerten und Kandidaten für AP6 auswählen,28,Architecture Comparison
AP6,"Kalibrierung, Ablation, Fehler- und Robustheitsanalysen",Konfidenz- und Evidenzkalibrierung für hybride Modellsignale entwickeln,72,Calibration
AP6,"Kalibrierung, Ablation, Fehler- und Robustheitsanalysen",Entscheidungsschwellen bei kontrollierter False-Positive-Rate optimieren,40,Threshold Study
AP6,"Kalibrierung, Ablation, Fehler- und Robustheitsanalysen","Ablationsstudien für Entity, Zeit, Status, Graph, NLI/LLM und Fusion durchführen",96,Ablation Results
AP6,"Kalibrierung, Ablation, Fehler- und Robustheitsanalysen",Systematische False-Positive-/False-Negative- und Fehlertaxonomieanalyse durchführen,72,Error Analysis
AP6,"Kalibrierung, Ablation, Fehler- und Robustheitsanalysen","Robustheit gegenüber Paraphrasen, Synonymen, Tippfehlern und Zusatzkontext testen",56,Robustness Text
AP6,"Kalibrierung, Ablation, Fehler- und Robustheitsanalysen","Robustheit bei langen Dokumenten, Kontextmenge und Dokumentreihenfolge untersuchen",40,Robustness Context
AP6,"Kalibrierung, Ablation, Fehler- und Robustheitsanalysen",Fehlerfortpflanzung über Graphkanten und mehrstufige Konfliktpfade untersuchen,40,Propagation Study
AP6,"Kalibrierung, Ablation, Fehler- und Robustheitsanalysen",Alternative Fusionsarchitekturen bei identifizierten Schwächen entwickeln und testen,64,Alternative Fusion
AP6,"Kalibrierung, Ablation, Fehler- und Robustheitsanalysen",Wichtige Experimente mit mehreren Seeds wiederholen und statistisch zusammenfassen,24,Repeated Runs
AP6,"Kalibrierung, Ablation, Fehler- und Robustheitsanalysen",Finale Architektur und Evaluationskonfiguration für AP7 festlegen,16,Final Architecture Freeze
AP7,Finale Validierung und technische Schlussauswertung,"Finales Evaluationsprotokoll, Testset-Hash und Auswertungsregeln einfrieren",16,Evaluation Protocol
AP7,Finale Validierung und technische Schlussauswertung,Ausgewählte Architektur einmalig auf zurückgehaltenem Testset ausführen,40,Final Test Results
AP7,Finale Validierung und technische Schlussauswertung,Finale Ergebnisse reproduzierbar gegen alle relevanten Baselines vergleichen,32,Final Baseline Comparison
AP7,Finale Validierung und technische Schlussauswertung,"Ergebnisse nach Dokumenttyp, Widerspruchstyp und Schwierigkeitsgrad auswerten",40,Stratified Evaluation
AP7,Finale Validierung und technische Schlussauswertung,Verbleibende technische Fehlermuster auf dem finalen Testset analysieren,40,Final Error Analysis
AP7,Finale Validierung und technische Schlussauswertung,Kalibrierung und Robustheit der finalen Architektur abschließend bewerten,24,Final Robustness
AP7,Finale Validierung und technische Schlussauswertung,Forschungsfragen und Hypothesen anhand der Messergebnisse beantworten,24,Research Findings
AP7,Finale Validierung und technische Schlussauswertung,"Technische Grenzen, negative Ergebnisse und Folgeforschung dokumentieren",20,Limitations
AP7,Finale Validierung und technische Schlussauswertung,Wissenschaftlich-technischen Abschlussbericht und Abschlussartefakte konsolidieren,24,Final Report
